"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"74486094789","2020-05-10T00:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.11","24","41","0.00",,"-0.03","0","51","30.10","CLR:00","30.09","10.00","35","270","28","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12305/10/20 00:51:02 METAR KJFK 100551Z 27016G24KT 10SM CLR 05/M04 A3011 RMK AO2 SLP194 60000 T00501044 10061 20050 50009 (DM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T01:00:00","FM-12","4",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24","41",,,"0.03","9","51","30.10",,"30.08","9.94","35","270",,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN09274486 12966 02716 10050 21044 30185 40194 50009 69901 90551 333 10061 20011 91024 555 91006=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T01:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.09","24","41","0.00",,,,"51","30.09","FEW:02 70","30.06","10.00","35","260",,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09905/10/20 01:51:02 METAR KJFK 100651Z 26016KT 10SM FEW070 05/M04 A3009 RMK AO2 SLP189 T00501044 (DM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T02:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.08","25","40","0.00",,,,"55","30.08","FEW:02 70","30.06","10.00","34","260",,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09905/10/20 02:51:02 METAR KJFK 100751Z 26017KT 10SM FEW070 04/M04 A3008 RMK AO2 SLP186 T00441039 (DM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T03:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.07","24","40","0.00",,"+0.03","6","53","30.07","CLR:00","30.04","10.00","34","260",,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10205/10/20 03:51:02 METAR KJFK 100851Z 26018KT 10SM CLR 04/M04 A3007 RMK AO2 SLP183 T00441044 56011 (DM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T04:00:00","FM-12","4",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24","40",,,"+0.03","6","53","30.07",,"30.04","9.94","34","260",,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN06474486 32966 02618 10044 21044 30172 40183 56011 90851 555 91009=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T04:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.09","26","40","0.00",,,,"58","30.09","CLR:00","30.06","10.00","35","250",,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09605/10/20 04:51:02 METAR KJFK 100951Z 25016KT 10SM CLR 04/M03 A3009 RMK AO2 SLP190 T00441033 (DM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T05:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","28","41","0.00",,,,"60","30.11","FEW:02 250","30.09","10.00","36","250","31","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12005/10/20 05:51:02 METAR KJFK 101051Z 25021G27KT 10SM FEW250 05/M02 A3012 RMK AO2 PK WND 24027/1043 SLP198 T00501022 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T06:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.13","28","44","0.00",,"-0.06","1","53","30.13","FEW:02 250","30.11","10.00","38","250","29","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12005/10/20 06:51:02 METAR KJFK 101151Z 25018G25KT 10SM FEW250 07/M02 A3013 RMK AO2 SLP202 T00671022 10067 20039 51019 (ML)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2020-05-10T07:00:00","FM-12","4",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"28","44",,,"-0.06","1","53","30.13",,"30.10","9.94","38","250",,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08674486 32966 22518 10067 21022 30192 40202 51019 91151 333 10094 20039 91025 555 91012=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
